socialnet,unique_visitors,reach,avg_visits_per_visitor,avg_time_on_site,gender_male,gender_female,age_0_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_plus,income_0_24999,income_25000_49999,income_50000_74999,income_75000_99999,income_100000_149999,income_150000_plus,children_yes,children_no,education_less_hs,education_hs,education_some_college,education_bachelors,education_graduate
delicious,2900000,0.0045,5.3,410,0.43,0.57,0.18,0.07,0.14,0.2,0.24,0.12,0.04,0.07,0.22,0.36,0.18,0.12,0.05,0.36,0.64,0.22,0.14,0.36,0.2,0.08
digg,16000000,0.0285,5.05,430,0.48,0.52,0.03,0.07,0.2,0.36,0.16,0.14,0.03,0.22,0.29,0.16,0.2,0.08,0.05,0.11,0.89,0.04,0.07,0.43,0.32,0.14
docstoc,3200000,0.006,2.05,245,0.64,0.36,0.11,0.09,0.18,0.29,0.18,0.1,0.04,0.14,0.28,0.25,0.2,0.1,0.04,0.22,0.78,0.15,0.1,0.39,0.27,0.09
facebook,240000000,0.372,25.5,1300,0.41,0.59,0.08,0.05,0.14,0.25,0.3,0.16,0.03,0.1,0.23,0.3,0.2,0.12,0.06,0.19,0.81,0.09,0.11,0.44,0.24,0.13
flicker,46000000,0.07,4.35,515,0.45,0.55,0.13,0.09,0.19,0.25,0.21,0.11,0.03,0.12,0.27,0.29,0.18,0.1,0.04,0.28,0.72,0.16,0.11,0.41,0.23,0.09
friendfeed,1640000,0.025,4.85,535,0.45,0.55,0.02,0.09,0.24,0.43,0.14,0.07,0.02,0.3,0.3,0.15,0.15,0.06,0.03,0.1,0.9,0.04,0.04,0.52,0.32,0.08
linkedin,22500000,0.0425,5.55,560,0.5,0.5,0.03,0.03,0.16,0.31,0.28,0.16,0.04,0.11,0.18,0.23,0.23,0.16,0.1,0.1,0.9,0.04,0.09,0.34,0.37,0.16
mixx,1435000,0.002,2.35,325,0.52,0.48,0.11,0.1,0.21,0.26,0.19,0.1,0.02,0.17,0.32,0.24,0.16,0.08,0.03,0.24,0.76,0.14,0.1,0.48,0.2,0.07
myspace,90500000,0.176,16,1350,0.36,0.64,0.34,0.1,0.12,0.16,0.19,0.07,0.02,0.07,0.39,0.35,0.11,0.06,0.02,0.57,0.43,0.32,0.12,0.42,0.1,0.04
ning,11800000,0.019,4.55,700,0.41,0.59,0.15,0.1,0.17,0.25,0.2,0.1,0.03,0.13,0.34,0.28,0.14,0.08,0.03,0.36,0.64,0.17,0.1,0.48,0.18,0.07
qik,250000,0.0006,2.6,450,0.52,0.48,0.06,0.13,0.23,0.34,0.16,0.06,0.02,0.21,0.31,0.23,0.16,0.07,0.03,0.22,0.78,0.09,0.1,0.46,0.28,0.07
scribd,13600000,0.018,2.35,310,0.52,0.48,0.09,0.06,0.17,0.25,0.25,0.14,0.03,0.13,0.25,0.27,0.2,0.1,0.05,0.21,0.79,0.12,0.11,0.4,0.25,0.13
tweeter,45000000,0.076,9.65,715,0.43,0.57,0.11,0.08,0.16,0.29,0.2,0.11,0.03,0.13,0.3,0.27,0.16,0.1,0.04,0.28,0.72,0.12,0.09,0.47,0.24,0.08
ustream,3050000,0.032,3.6,10.5,0.34,0.66,0.12,0.15,0.22,0.26,0.15,0.08,0.02,0.18,0.35,0.24,0.13,0.07,0.02,0.34,0.66,0.16,0.08,0.5,0.19,0.06
yelp,10350000,0.0255,3.25,345,0.43,0.57,0.06,0.05,0.17,0.27,0.27,0.15,0.03,0.09,0.18,0.29,0.19,0.16,0.08,0.15,0.85,0.08,0.1,0.35,0.32,0.14